match_id,innings,total_runs,extras,wickets,balls_bowled,boundaries_4,boundaries_6,dot_balls,batting_team,bowling_team,dot_ball_pct,extras_pct,run_rate,powerplay_runs,powerplay_wickets,death_over_runs,death_over_wickets,date,venue,city,toss_winner,toss_decision,winner,player_of_match,method,season,toss_win_match_win
335982,1,205,17,3,124,15,14,45,Kolkata Knight Riders,Royal Challengers Bengaluru,36.29,7.66,9.92,51,1,68,1,18-04-2008,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,Kolkata Knight Riders,BB McCullum,,2008,0
335982,2,63,19,10,101,3,3,65,Royal Challengers Bengaluru,Kolkata Knight Riders,64.36,23.17,3.74,19,4,0,1,18-04-2008,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,Kolkata Knight Riders,BB McCullum,,2008,0
335983,1,234,6,5,124,20,16,39,Chennai Super Kings,Punjab Kings,31.45,2.5,11.32,50,1,79,1,19-04-2008,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,,2008,1
335983,2,196,11,4,124,18,9,33,Punjab Kings,Chennai Super Kings,26.61,5.31,9.48,61,1,39,1,19-04-2008,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,,2008,1
335984,1,122,7,8,122,14,3,60,Rajasthan Royals,Delhi Capitals,49.18,5.43,6,38,2,33,1,19-04-2008,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Delhi Capitals,MF Maharoof,,2008,0
335984,2,122,10,1,97,18,1,37,Delhi Capitals,Rajasthan Royals,38.14,7.58,7.55,53,1,4,0,19-04-2008,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Delhi Capitals,MF Maharoof,,2008,0
335985,1,154,11,7,123,18,5,53,Mumbai Indians,Royal Challengers Bengaluru,43.09,6.67,7.51,41,3,58,3,20-04-2008,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bengaluru,MV Boucher,,2008,0
335985,2,161,5,5,123,15,6,41,Royal Challengers Bengaluru,Mumbai Indians,33.33,3.01,7.85,39,1,47,1,20-04-2008,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bengaluru,MV Boucher,,2008,0
335986,1,100,10,10,118,6,6,72,Deccan Chargers,Kolkata Knight Riders,61.02,9.09,5.08,35,2,31,4,20-04-2008,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders,DJ Hussey,,2008,0
335986,2,84,28,5,122,5,4,75,Kolkata Knight Riders,Deccan Chargers,61.48,25,4.13,21,3,29,1,20-04-2008,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders,DJ Hussey,,2008,0
335987,1,162,4,8,122,18,7,57,Punjab Kings,Rajasthan Royals,46.72,2.41,7.97,54,1,50,4,21-04-2008,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,Rajasthan Royals,SR Watson,,2008,0
335987,2,156,12,4,119,17,7,57,Rajasthan Royals,Punjab Kings,47.9,7.14,7.87,45,3,25,0,21-04-2008,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,Rajasthan Royals,SR Watson,,2008,0
335988,1,137,5,8,122,12,6,60,Deccan Chargers,Delhi Capitals,49.18,3.52,6.74,24,2,66,3,22-04-2008,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,bat,Delhi Capitals,V Sehwag,,2008,0
335988,2,131,12,1,83,15,6,32,Delhi Capitals,Deccan Chargers,38.55,8.39,9.47,47,1,0,0,22-04-2008,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,bat,Delhi Capitals,V Sehwag,,2008,0
335989,1,190,18,5,127,24,6,46,Chennai Super Kings,Mumbai Indians,36.22,8.65,8.98,46,2,62,2,23-04-2008,MA Chidambaram Stadium,Chennai,Mumbai Indians,field,Chennai Super Kings,ML Hayden,,2008,0
335989,2,189,13,7,128,19,8,46,Mumbai Indians,Chennai Super Kings,35.94,6.44,8.86,45,2,67,2,23-04-2008,MA Chidambaram Stadium,Chennai,Mumbai Indians,field,Chennai Super Kings,ML Hayden,,2008,0
335990,1,208,6,5,126,24,9,43,Deccan Chargers,Rajasthan Royals,34.13,2.8,9.9,57,2,63,2,24-04-2008,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,,2008,1
335990,2,210,7,7,122,18,14,39,Rajasthan Royals,Deccan Chargers,31.97,3.23,10.33,70,1,55,4,24-04-2008,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,field,Rajasthan Royals,YK Pathan,,2008,1
335991,1,175,7,10,124,18,5,46,Punjab Kings,Mumbai Indians,37.1,3.85,8.47,58,1,40,6,25-04-2008,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Mumbai Indians,field,Punjab Kings,KC Sangakkara,,2008,0
335991,2,109,7,9,126,12,4,74,Mumbai Indians,Punjab Kings,58.73,6.03,5.19,36,2,13,2,25-04-2008,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Mumbai Indians,field,Punjab Kings,KC Sangakkara,,2008,0
335992,1,129,6,8,124,12,7,69,Royal Challengers Bengaluru,Rajasthan Royals,55.65,4.44,6.24,55,2,38,1,26-04-2008,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals,SR Watson,,2008,1
335992,2,135,3,3,105,22,2,47,Rajasthan Royals,Royal Challengers Bengaluru,44.76,2.17,7.71,43,2,17,1,26-04-2008,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals,SR Watson,,2008,1
335993,1,139,8,9,126,14,4,57,Kolkata Knight Riders,Chennai Super Kings,45.24,5.44,6.62,60,3,39,3,26-04-2008,MA Chidambaram Stadium,Chennai,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,,2008,0
335993,2,134,18,1,107,12,5,43,Chennai Super Kings,Kolkata Knight Riders,40.19,11.84,7.51,35,0,26,0,26-04-2008,MA Chidambaram Stadium,Chennai,Kolkata Knight Riders,bat,Chennai Super Kings,JDP Oram,,2008,0
335994,1,143,11,7,125,14,5,59,Mumbai Indians,Deccan Chargers,47.2,7.14,6.86,23,3,50,2,27-04-2008,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,,2008,1
335994,2,146,9,0,77,13,11,27,Deccan Chargers,Mumbai Indians,35.06,5.81,11.38,58,0,0,0,27-04-2008,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers,AC Gilchrist,,2008,1
335995,1,147,11,8,125,18,2,49,Delhi Capitals,Punjab Kings,39.2,6.96,7.06,41,3,49,3,27-04-2008,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Delhi Capitals,bat,Punjab Kings,SM Katich,,2008,0
